CourseName,Syllabus,Version,Duration,Weeks,Department,Level,Credits,CreatedDate,UpdatedDate,Instructor,InstructorEmail,Category,Language,Mode,Price,Discount,SeatsAvailable,EnrolledCount,Rating,ReviewCount,Country,State,City,Course ID
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",1,19 weeks,19,IT,Beginner,8,20-03-2023,08-10-2024,Deanna King,bboyd@hotmail.com,Technology,Tamil,Offline,240.38,25.06,48,51,1.6,349,India,Karnataka,Mangalore,CD09-AT
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",2,14 weeks,14,EEE,Advanced,1,13-04-2023,08-01-2025,Steven Turner,gregorychloe@yahoo.com,Computer Science,English,Hybrid,719.48,46.69,52,32,3.2,105,India,Karnataka,Mangalore,CD06-CC
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",5,20 weeks,20,ECE,Intermediate,4,17-08-2022,02-05-2025,Curtis Lyons,bryantedward@dunn.biz,Computer Science,English,Offline,112.95,15.24,68,25,1.1,105,India,Andhra Pradesh,Vijayawada,CD04-DA
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",1,14 weeks,14,ME,Advanced,7,10-11-2023,14-05-2025,David Ruiz,arodriguez@lopez-wright.org,Computer Science,Tamil,Hybrid,614.97,32.42,80,42,1.8,137,India,Kerala,Alappuzha,CD08-CS
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",5,19 weeks,19,CE,Intermediate,9,02-08-2022,29-08-2024,Audrey Patel,russellhughes@hotmail.com,Programming,Tamil,Hybrid,617.34,14.23,26,68,4.8,393,India,Kerala,Kochi,CD05-FS
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",4,15 weeks,15,CE,Intermediate,9,12-01-2024,04-07-2025,Daniel Harrison,sestrada@robertson.com,Technology,Tamil,Online,895.87,30.56,30,16,2.8,430,India,Tamil Nadu,Trichy,CD01-DS
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",4,17 weeks,17,ECE,Advanced,9,15-10-2023,17-12-2024,Melissa Avila,bradyalison@gmail.com,Programming,English,Online,892.87,29.13,91,40,1.6,258,India,Tamil Nadu,Madurai,CD02-AI
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",4,14 weeks,14,IT,Beginner,7,07-01-2024,15-12-2024,Timothy Moore,odonnelltracy@hotmail.com,Programming,English,Hybrid,555.33,31.13,57,31,1.1,189,India,Andhra Pradesh,Visakhapatnam,CD05-FS
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",5,21 weeks,21,IT,Beginner,3,03-06-2024,12-10-2024,Cheryl Robinson,ajackson@hotmail.com,Technology,Tamil,Offline,164.21,34.31,67,46,4.6,84,India,Karnataka,Belgaum,CD04-DA
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",3,20 weeks,20,IT,Beginner,2,13-12-2023,30-11-2024,John Lee,grodriguez@gmail.com,Technology,Tamil,Hybrid,685.32,2.52,69,17,4.4,320,India,Tamil Nadu,Chennai,CD01-DS
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",5,17 weeks,17,EEE,Intermediate,1,24-10-2023,02-06-2025,Meredith Baker,johnsonlaura@nguyen.biz,Technology,Tamil,Hybrid,385.34,2.45,49,39,1.1,84,India,Karnataka,Bangalore,CD04-DA
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",4,14 weeks,14,CE,Intermediate,10,26-10-2023,13-05-2025,Victor Casey,brian48@oneill-castro.com,Computer Science,Tamil,Offline,215.69,29.65,35,30,1.5,28,India,Karnataka,Belgaum,CD01-DS
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",4,23 weeks,23,CE,Beginner,7,08-02-2023,06-07-2025,Tonya Smith,gloverjohn@simpson.com,Technology,Tamil,Online,937.82,25.21,40,18,1.7,423,India,Tamil Nadu,Coimbatore,CD05-FS
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",2,22 weeks,22,ME,Beginner,6,24-02-2023,05-09-2024,Ashley Hill,sotosteven@harding.info,Programming,Tamil,Hybrid,812.98,45.7,64,3,2.5,81,India,Kerala,Kozhikode,CD03-ML
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",2,19 weeks,19,CS,Advanced,7,24-09-2022,15-03-2025,Angela Rivera,theresa73@gmail.com,Engineering,English,Offline,896.78,43.67,90,55,1.8,123,India,Kerala,Kozhikode,CD08-CS
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",5,20 weeks,20,ME,Advanced,4,29-01-2024,12-04-2025,Mark Walls,pacedestiny@baker-thomas.net,Engineering,English,Hybrid,122.32,10.12,64,40,3.4,256,India,Tamil Nadu,Chennai,CD03-ML
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",5,15 weeks,15,IT,Advanced,8,28-08-2022,23-10-2024,Carla Garrison,anthonygarcia@chavez.org,Programming,English,Offline,582.67,24.14,29,73,2.8,77,India,Andhra Pradesh,Vijayawada,CD05-FS
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",4,24 weeks,24,ECE,Intermediate,1,11-11-2023,14-06-2025,Dean Bush,craig13@gmail.com,Programming,English,Online,227.59,24.15,82,23,3.3,453,India,Kerala,Alappuzha,CD04-DA
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",5,13 weeks,13,CE,Beginner,10,07-01-2024,05-04-2025,Maria Byrd,andersondaniel@yahoo.com,Computer Science,Tamil,Hybrid,374.14,9.92,35,12,4.4,424,India,Andhra Pradesh,Guntur,CD03-ML
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",4,21 weeks,21,ME,Intermediate,7,28-09-2023,04-10-2024,Jennifer Walker,lisagriffin@hotmail.com,Engineering,English,Hybrid,694.28,38.4,40,97,4.8,272,India,Kerala,Kochi,CD07-DO
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",5,23 weeks,23,ME,Intermediate,3,23-12-2022,10-12-2024,Brittney Chen,stephaniereyes@hotmail.com,Computer Science,English,Hybrid,150.76,42.99,44,79,1,129,India,Kerala,Kochi,CD02-AI
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",3,13 weeks,13,ME,Advanced,6,11-08-2023,29-12-2024,Mark Andrade,lhuff@hotmail.com,Engineering,English,Hybrid,114.16,22.88,43,70,4.3,443,India,Karnataka,Mysore,CD04-DA
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",1,15 weeks,15,CS,Advanced,6,29-08-2022,12-09-2024,William Campbell,todddavis@brown.biz,Computer Science,Tamil,Hybrid,122.15,8.05,24,39,2.2,448,India,Kerala,Kochi,CD05-FS
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",5,12 weeks,12,ME,Advanced,1,26-02-2023,25-05-2025,Alexander Cooley,joseph36@burgess.com,Programming,Tamil,Offline,129.3,37.84,64,2,4.9,386,India,Karnataka,Belgaum,CD06-CC
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",3,21 weeks,21,IT,Beginner,9,18-10-2022,10-03-2025,Steven Long,antonioriley@hotmail.com,Engineering,English,Online,686.78,22.56,53,3,4.8,498,India,Andhra Pradesh,Vijayawada,CD09-AT
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",2,19 weeks,19,EEE,Beginner,3,10-01-2024,11-11-2024,James Ferguson,ljohnson@warren.net,Computer Science,English,Hybrid,944.49,9.87,62,25,4,483,India,Karnataka,Mysore,CD05-FS
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",2,13 weeks,13,ME,Beginner,4,22-05-2024,20-06-2025,Gabriel Mitchell,michaelbeasley@yahoo.com,Programming,Tamil,Hybrid,389.81,5.11,56,20,4.3,316,India,Kerala,Alappuzha,CD07-DO
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",1,13 weeks,13,CS,Beginner,9,26-02-2023,27-05-2025,Michael Moore,gary49@yahoo.com,Computer Science,Tamil,Online,971.65,44.4,83,46,2.6,389,India,Karnataka,Hubli,CD02-AI
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",5,13 weeks,13,ECE,Beginner,9,08-03-2024,18-10-2024,Peter Anderson,heather65@castillo.com,Computer Science,English,Offline,765.69,36.58,44,63,4.9,366,India,Kerala,Thrissur,CD03-ML
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",4,14 weeks,14,CE,Intermediate,1,13-10-2022,10-10-2024,Daniel Gomez,mooresarah@yahoo.com,Technology,Tamil,Online,760.79,48.74,21,88,1.2,277,India,Karnataka,Hubli,CD06-CC
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",3,14 weeks,14,CS,Advanced,3,15-09-2022,02-09-2024,Chelsea Holloway,leonsamantha@davies.com,Computer Science,Tamil,Hybrid,883.27,49.41,84,99,3.4,418,India,Karnataka,Hubli,CD05-FS
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",5,13 weeks,13,ECE,Advanced,3,11-04-2024,01-11-2024,Howard Ortiz,cthomas@gmail.com,Technology,English,Online,234.09,6.31,39,52,4.4,398,India,Kerala,Thrissur,CD02-AI
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",1,23 weeks,23,EEE,Beginner,7,22-10-2023,23-09-2024,Brad Lewis,staylor@walsh-cummings.info,Computer Science,English,Hybrid,844.2,3.32,77,96,2.1,79,India,Andhra Pradesh,Vijayawada,CD07-DO
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",1,13 weeks,13,CE,Intermediate,2,31-07-2022,13-05-2025,Stephen Ramirez,joyce77@bates.org,Programming,English,Offline,725.59,18.27,97,19,4.1,79,India,Tamil Nadu,Trichy,CD01-DS
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",2,23 weeks,23,IT,Intermediate,8,05-02-2023,01-10-2024,Barbara Escobar,wilsonalan@whitney.com,Technology,English,Online,193.63,16.33,90,41,3.9,386,India,Karnataka,Bangalore,CD04-DA
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",4,13 weeks,13,ECE,Advanced,10,21-08-2023,01-03-2025,Dalton Jackson,elizabethbrown@yahoo.com,Programming,Tamil,Offline,373.15,43.2,90,34,1.3,241,India,Karnataka,Bangalore,CD06-CC
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",3,14 weeks,14,IT,Intermediate,2,27-05-2023,18-03-2025,Diane Rodriguez,graypaul@burch.net,Technology,Tamil,Online,876.68,36.1,64,11,1.3,267,India,Andhra Pradesh,Nellore,CD05-FS
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",5,14 weeks,14,IT,Advanced,10,01-02-2023,14-06-2025,Tamara Williams,andrewparks@thompson.com,Technology,English,Offline,281.75,9.78,43,70,3.8,255,India,Karnataka,Bangalore,CD09-AT
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",2,15 weeks,15,CS,Beginner,3,04-05-2024,09-11-2024,Erika Gallegos,scottjennifer@lambert.info,Engineering,Tamil,Hybrid,144,11.52,48,86,2.1,128,India,Andhra Pradesh,Guntur,CD02-AI
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",5,14 weeks,14,IT,Beginner,5,12-08-2023,19-05-2025,Melanie Rodgers,caitlyn69@dalton-kramer.biz,Programming,English,Online,678.76,40.44,81,17,3.6,187,India,Andhra Pradesh,Visakhapatnam,CD07-DO
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",5,15 weeks,15,CS,Advanced,5,12-09-2022,28-08-2024,Laurie Brown,sarawatson@gmail.com,Programming,Tamil,Offline,484.79,23.69,42,3,4.1,310,India,Karnataka,Bangalore,CD02-AI
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",3,15 weeks,15,ECE,Beginner,5,18-07-2023,03-06-2025,Jeffrey Singleton,jamesjones@gmail.com,Programming,English,Online,797.8,2.55,92,0,2.6,49,India,Tamil Nadu,Coimbatore,CD01-DS
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",3,16 weeks,16,ME,Advanced,4,30-06-2023,03-09-2024,Todd Brown,zschultz@hotmail.com,Programming,Tamil,Online,887.49,1.77,99,95,2.9,46,India,Tamil Nadu,Salem,CD02-AI
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",1,20 weeks,20,EEE,Intermediate,9,24-10-2023,08-04-2025,Ronald Mcdonald,bergsamuel@wilson-nelson.com,Computer Science,Tamil,Offline,186.31,3.08,41,28,2.7,476,India,Karnataka,Hubli,CD04-DA
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",2,17 weeks,17,CS,Advanced,1,15-10-2023,10-02-2025,Jennifer Archer,hailey04@crawford.org,Programming,English,Online,938.08,27.98,36,36,1.6,90,India,Tamil Nadu,Salem,CD07-DO
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",2,20 weeks,20,ECE,Advanced,2,13-01-2024,01-04-2025,Stephen Jones,sara89@gmail.com,Computer Science,English,Online,621.26,28.85,89,17,4.5,345,India,Andhra Pradesh,Nellore,CD02-AI
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",1,14 weeks,14,CE,Intermediate,2,28-06-2024,02-05-2025,Gregory Oliver,marcus88@bauer.net,Computer Science,English,Hybrid,226.74,19.88,69,40,5,348,India,Karnataka,Hubli,CD08-CS
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",4,16 weeks,16,CS,Beginner,9,03-01-2023,22-12-2024,Brian Jones,andreacastro@gmail.com,Computer Science,Tamil,Hybrid,392.14,47.61,81,60,1.3,386,India,Tamil Nadu,Madurai,CD08-CS
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",4,13 weeks,13,CE,Beginner,5,06-01-2024,25-01-2025,Diane Barry,jack50@baker.com,Engineering,English,Offline,711.49,24.97,94,96,3.5,377,India,Andhra Pradesh,Nellore,CD07-DO
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",2,15 weeks,15,EEE,Advanced,10,26-08-2022,14-06-2025,Sarah Robinson,tonya87@sosa.com,Programming,English,Offline,299.52,47.03,100,55,2.3,363,India,Tamil Nadu,Madurai,CD04-DA
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",2,19 weeks,19,ECE,Advanced,6,17-01-2023,20-09-2024,Stephen Gibbs,amyhernandez@robertson.com,Technology,English,Online,834.93,49.75,41,69,1.7,210,India,Kerala,Thiruvananthapuram,CD02-AI
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",2,15 weeks,15,ME,Beginner,8,17-09-2023,20-08-2024,Shawna Harris,hmiller@yahoo.com,Engineering,Tamil,Online,307.91,26.44,32,87,2.4,328,India,Kerala,Thiruvananthapuram,CD01-DS
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",5,23 weeks,23,ME,Advanced,7,01-10-2022,07-12-2024,Sandra Butler,tayloranthony@yahoo.com,Computer Science,Tamil,Offline,817.93,19.95,92,74,2.1,284,India,Karnataka,Mysore,CD03-ML
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",5,12 weeks,12,EEE,Intermediate,4,14-01-2024,03-01-2025,James Harris,smithjoseph@thomas-flynn.com,Computer Science,English,Offline,462.27,14.67,70,19,4.9,464,India,Kerala,Thiruvananthapuram,CD07-DO
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",1,12 weeks,12,CE,Intermediate,8,27-08-2023,08-08-2024,Theresa Walters,quinnshawn@gilmore.com,Technology,English,Online,592.23,24.83,65,64,4.2,396,India,Andhra Pradesh,Visakhapatnam,CD08-CS
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",1,20 weeks,20,CE,Beginner,9,05-05-2024,31-01-2025,Craig Lewis,martinmarie@ruiz.com,Engineering,English,Hybrid,951.35,42.91,88,28,3.9,157,India,Andhra Pradesh,Nellore,CD03-ML
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",3,24 weeks,24,CE,Intermediate,4,24-03-2023,03-05-2025,Mary Bishop,mckenzieanne@yahoo.com,Technology,Tamil,Offline,805.95,6.08,62,45,1.8,340,India,Tamil Nadu,Chennai,CD01-DS
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",3,20 weeks,20,CS,Advanced,4,12-07-2023,07-07-2025,Carrie Le,bairdchristy@yahoo.com,Computer Science,Tamil,Offline,124.35,20.89,95,39,3,456,India,Kerala,Alappuzha,CD04-DA
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",2,15 weeks,15,ME,Advanced,4,28-08-2022,02-08-2024,Jennifer Vaughn,paul62@hotmail.com,Engineering,Tamil,Online,590.54,43.78,53,0,1.2,243,India,Kerala,Thiruvananthapuram,CD02-AI
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",1,16 weeks,16,ECE,Intermediate,7,03-08-2022,06-04-2025,Ryan Baker,fdunn@herring-flores.org,Technology,English,Online,492.75,35.53,39,76,2.7,318,India,Andhra Pradesh,Guntur,CD09-AT
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",1,24 weeks,24,IT,Beginner,1,28-08-2023,26-12-2024,Heather Rodriguez,danielle06@chavez-miller.com,Programming,Tamil,Hybrid,555.65,11.56,37,82,4.9,271,India,Kerala,Kochi,CD03-ML
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",4,12 weeks,12,CE,Advanced,1,01-11-2022,26-10-2024,Monique Mccarty,pamelabates@gmail.com,Computer Science,Tamil,Offline,218.96,33.22,69,75,4.1,493,India,Kerala,Kochi,CD03-ML
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",3,19 weeks,19,CE,Intermediate,4,11-11-2023,26-07-2025,William Mayo,pramirez@yahoo.com,Technology,English,Online,137.26,13.14,97,7,4,9,India,Karnataka,Hubli,CD02-AI
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",5,16 weeks,16,CE,Advanced,10,13-10-2023,15-08-2024,Susan Walker,pattersonaaron@scott.com,Programming,English,Hybrid,966.46,31.75,84,23,2.3,12,India,Tamil Nadu,Trichy,CD07-DO
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",1,24 weeks,24,ECE,Advanced,3,18-03-2023,03-03-2025,Brandon Espinoza,millersteven@hotmail.com,Engineering,English,Online,918.68,31.15,67,77,1.3,190,India,Andhra Pradesh,Visakhapatnam,CD08-CS
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",2,17 weeks,17,ECE,Beginner,1,13-07-2023,01-03-2025,Pamela West,stacey95@gmail.com,Computer Science,Tamil,Online,947.53,19.21,96,50,2.3,328,India,Tamil Nadu,Madurai,CD09-AT
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",5,17 weeks,17,EEE,Advanced,4,23-11-2023,15-12-2024,John Barnett,bparker@yahoo.com,Technology,English,Offline,175.57,42.21,71,69,3.1,96,India,Kerala,Kochi,CD04-DA
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",4,18 weeks,18,CE,Intermediate,5,08-07-2023,01-12-2024,Kimberly Foster,douglas36@garcia.org,Programming,English,Hybrid,645.37,46.18,62,11,1.4,412,India,Andhra Pradesh,Nellore,CD08-CS
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",5,18 weeks,18,CS,Intermediate,6,16-08-2023,23-09-2024,Erica Wolfe,jaime07@mcdowell.com,Technology,English,Hybrid,495.27,22.39,90,9,3.5,11,India,Kerala,Kochi,CD06-CC
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",5,13 weeks,13,IT,Advanced,2,21-01-2024,02-05-2025,Kaitlyn Jones,michaelmyers@yahoo.com,Programming,English,Online,273.33,36.97,21,13,3,265,India,Kerala,Thrissur,CD01-DS
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",5,21 weeks,21,EEE,Intermediate,6,15-04-2024,15-09-2024,Sharon Thompson,irichard@pierce-gray.biz,Programming,Tamil,Offline,491.01,14.62,37,81,1.1,405,India,Kerala,Thiruvananthapuram,CD09-AT
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",4,15 weeks,15,ECE,Advanced,9,25-08-2022,16-02-2025,Ellen Wilson,thompsonangie@yahoo.com,Programming,English,Hybrid,889.38,5.69,68,3,2.2,96,India,Kerala,Kochi,CD06-CC
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",5,16 weeks,16,EEE,Intermediate,2,14-10-2022,26-07-2025,Angela Daugherty,madelinewalker@mason-nelson.com,Technology,English,Online,960.33,20.33,71,26,4.1,410,India,Andhra Pradesh,Guntur,CD04-DA
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",3,18 weeks,18,CS,Intermediate,6,09-06-2023,16-10-2024,Sarah Williams,foxscott@gmail.com,Computer Science,Tamil,Offline,912.14,41.52,44,26,3.7,314,India,Tamil Nadu,Trichy,CD05-FS
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",4,20 weeks,20,ME,Beginner,2,13-01-2024,12-07-2025,Karen Coleman,mary17@ryan.net,Technology,Tamil,Online,349.89,5.55,31,91,3.4,284,India,Kerala,Thiruvananthapuram,CD08-CS
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",5,18 weeks,18,CE,Intermediate,4,18-12-2022,18-06-2025,Kristen Bell,nancyvasquez@gmail.com,Technology,Tamil,Hybrid,111.87,15.7,65,54,1.4,111,India,Karnataka,Mysore,CD07-DO
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",5,15 weeks,15,IT,Advanced,8,13-05-2023,16-03-2025,Kathryn Woodard,stephaniebowen@yahoo.com,Computer Science,English,Online,789.79,40.44,63,3,4.8,76,India,Andhra Pradesh,Visakhapatnam,CD06-CC
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",2,18 weeks,18,ECE,Intermediate,1,09-09-2022,17-03-2025,William Lester,courtneydalton@gmail.com,Computer Science,Tamil,Online,637.13,33.35,98,96,3.6,248,India,Karnataka,Hubli,CD04-DA
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",2,17 weeks,17,EEE,Advanced,3,21-01-2023,07-04-2025,Kimberly Powell,ehansen@brewer.com,Engineering,English,Offline,598.25,45.26,64,89,4.1,264,India,Kerala,Kochi,CD04-DA
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",3,16 weeks,16,ME,Advanced,5,04-04-2023,07-01-2025,Caitlin Barker,jeremy37@hotmail.com,Engineering,English,Hybrid,875.71,39.86,36,67,2.5,162,India,Kerala,Thrissur,CD04-DA
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",3,14 weeks,14,ECE,Beginner,9,03-08-2023,28-10-2024,Jessica Bradley,trantimothy@hicks.com,Programming,Tamil,Offline,261.16,38.18,84,36,4,124,India,Andhra Pradesh,Kurnool,CD02-AI
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",5,21 weeks,21,ECE,Beginner,3,22-08-2023,15-04-2025,Catherine Escobar,fthomas@yahoo.com,Programming,English,Offline,205.07,0.34,85,59,3,393,India,Andhra Pradesh,Kurnool,CD03-ML
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",4,13 weeks,13,EEE,Intermediate,4,19-07-2023,10-04-2025,Daniel Jenkins,william50@salinas.org,Technology,English,Hybrid,586.9,19.56,97,69,2.8,10,India,Karnataka,Belgaum,CD04-DA
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",5,18 weeks,18,IT,Advanced,5,07-02-2024,18-06-2025,John Booth,martinezmichael@dougherty-hart.com,Technology,English,Hybrid,688.02,11.37,83,82,3.4,222,India,Kerala,Alappuzha,CD03-ML
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",1,18 weeks,18,IT,Beginner,1,19-05-2023,15-03-2025,Eric Parker,chad39@collins.net,Technology,Tamil,Offline,561.39,37.64,53,53,4.7,218,India,Tamil Nadu,Chennai,CD05-FS
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",1,22 weeks,22,EEE,Beginner,1,03-02-2023,01-09-2024,Stephen Miller,janetsheppard@colon.biz,Technology,English,Online,770.95,49.18,22,55,3.6,125,India,Karnataka,Bangalore,CD01-DS
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",1,22 weeks,22,CS,Beginner,10,29-10-2023,13-03-2025,Felicia Vincent,hlopez@price.com,Technology,Tamil,Online,993.11,4.84,24,78,1.7,126,India,Tamil Nadu,Trichy,CD09-AT
