SalesID,SalesPersonName,Region,LeadsGenerated,Conversions,Revenue,Month,Email,PhoneNumber,Age,ExperienceYears,Team,JoiningDate,TargetAchieved,CustomerSatisfaction,CommissionEarned,LastLogin,FeedbackComments,SalesChannel,Certifications,Course ID
11,Kelly Arias,Central,53,43,2300.18,2022-08,cassandra01@anderson-foster.org,221.157.3873,33,18,Gamma,2023-03-20,No,8,113.56,2025-01-27 06:14:33,Item game leave against.,Online,None,CD09-AT
12,William Larsen,North,56,7,1003.42,2024-10,stewartashley@schroeder-meza.org,4057358571,25,4,Beta,2021-02-22,No,4,849.41,2025-01-20 18:59:00,Appear red know director.,Hybrid,Elite Trainer,CD01-DS
13,Whitney Fritz,South,82,27,3760.86,2022-11,wardmichael@hotmail.com,001-660-603-7278,49,6,Beta,2023-07-15,Yes,3,757.41,2025-06-21 01:37:33,Job floor possible evening social world.,Offline,None,CD03-ML
14,Brittany Flores,South,100,25,8500.2,2023-01,banderson@conley-cole.com,+1-190-862-3404x92468,31,13,Alpha,2021-02-05,Yes,2,628.08,2025-01-22 12:18:08,Bad especially difficult art follow.,Hybrid,Certified Seller,CD08-CS
15,Carolyn Ayala,North,63,7,1963.29,2022-04,cookchristopher@yahoo.com,+1-396-193-6485x955,45,13,Gamma,2022-01-15,Yes,7,342.48,2025-07-25 00:45:53,Change strong next member weight rise.,Online,None,CD02-AI
16,Paul Cobb,North,55,10,8837.69,2022-12,ihayden@hotmail.com,001-568-282-7218,41,17,Alpha,2020-10-29,Yes,7,262.45,2025-07-07 21:18:08,Chance maybe party.,Offline,None,CD06-CC
17,Justin Carter,South,62,13,4064.88,2024-04,mikejohnson@hughes-jones.org,142-196-5968,31,9,Alpha,2023-12-31,No,7,444.66,2025-05-12 13:07:47,Their room particular second husband national.,Hybrid,Elite Trainer,CD08-CS
18,David Boyd,East,17,7,5394.45,2022-01,steven25@hotmail.com,+1-962-770-6336x82412,49,4,Beta,2022-09-18,Yes,1,596.89,2025-06-28 05:16:03,Image serious best effort cell.,Online,Elite Trainer,CD01-DS
19,Edward Singh,Central,14,1,5488.09,2024-01,taylorronald@ramos.com,(584)796-6876x5601,35,5,Alpha,2022-10-31,Yes,3,994.78,2025-05-08 17:34:39,Writer its point eight.,Offline,Elite Trainer,CD08-CS
20,Mark Pearson,South,13,38,6162.34,2023-07,edgarraymond@hotmail.com,981.586.9064x94991,24,6,Beta,2023-10-27,Yes,7,649.69,2025-04-09 10:44:37,Give blue sense best both mean family sister.,Offline,None,CD05-FS
21,Lori Espinoza,Central,28,42,5561.98,2024-10,leslie84@hotmail.com,(620)354-6565x327,48,8,Gamma,2022-04-12,Yes,7,963.95,2025-03-17 08:49:54,Next beautiful back team church a along.,Offline,Elite Trainer,CD09-AT
22,Dakota Sutton,North,14,32,2529.62,2024-09,ashleyperez@jackson-anderson.com,+1-732-966-2619,37,8,Alpha,2023-12-24,Yes,5,318.53,2025-01-19 01:37:54,Other sign imagine court.,Hybrid,Certified Seller,CD08-CS
23,William Casey,East,93,34,9173.46,2023-04,lawsonmary@casey.com,(522)221-9382x69255,30,14,Alpha,2021-09-18,Yes,5,359.01,2025-03-13 14:38:28,It late rock become public story.,Online,None,CD07-DO
24,William Lee,East,36,27,5570.55,2023-05,erictucker@williams.net,001-893-734-8151x802,35,16,Beta,2023-09-19,Yes,8,183.52,2025-04-01 18:49:22,Hot seat teacher paper administration entire.,Online,Elite Trainer,CD06-CC
25,Jose Adams,North,15,44,5228.08,2023-08,jenniferliu@charles.org,001-729-623-6842x5571,31,3,Gamma,2022-04-28,No,2,784.42,2025-06-18 04:06:34,Entire forget white near agent help set.,Hybrid,Certified Seller,CD05-FS
26,Mark Mosley,West,13,21,8189.88,2022-04,loriscott@hotmail.com,(497)614-8801x9467,32,6,Gamma,2024-02-21,Yes,8,788.99,2025-05-21 09:38:08,Wonder action stage less professional.,Hybrid,None,CD08-CS
27,Jeremy Williams,South,84,19,9125.77,2023-11,jocelyn19@ramirez-wang.biz,542-588-2869x4529,22,18,Beta,2023-12-06,No,3,240.96,2025-05-11 03:16:54,Traditional else apply season close level.,Offline,None,CD08-CS
28,Benjamin Morales,Central,97,38,4093.86,2024-10,rboyd@ortega.com,001-794-515-4708,47,1,Alpha,2023-10-30,No,9,967.15,2025-05-09 08:09:52,Pretty phone south popular money inside bring.,Online,None,CD03-ML
29,Richard Simon,North,44,44,9678.57,2023-09,codyparker@morgan.com,699.716.4131,22,1,Alpha,2021-07-29,No,6,717.57,2025-05-09 21:17:39,Answer surface table effect reality top who.,Online,Certified Seller,CD05-FS
30,Jaime Cardenas,North,13,11,5946.03,2023-12,conwaymarissa@gmail.com,395.706.6641,28,10,Gamma,2023-04-22,No,8,484.55,2025-06-10 11:31:17,Analysis then again its money more.,Online,Elite Trainer,CD01-DS
31,Perry Middleton,West,24,46,2163.01,2024-11,dwaynehoward@hotmail.com,555.897.9722x46095,35,17,Alpha,2021-01-05,Yes,6,187.08,2025-06-05 22:13:27,Suddenly air kind bag.,Online,None,CD03-ML
32,Michelle Williams,North,12,10,6601.97,2023-03,jalexander@yahoo.com,682-037-0471x823,32,11,Alpha,2021-11-01,Yes,8,859.54,2025-04-25 19:56:28,Place series contain leave smile adult air.,Hybrid,Elite Trainer,CD04-DA
33,Todd Kirk,East,61,15,9528.24,2022-08,mitchell15@edwards-may.com,031.541.9735x19395,31,20,Alpha,2024-07-20,No,3,381.77,2025-02-17 13:25:28,Care dark buy still common nor ok policy.,Online,Certified Seller,CD06-CC
34,Jonathan Wright,Central,62,27,2220.96,2023-12,stacey53@hotmail.com,(719)158-5561x07980,27,17,Beta,2020-11-16,No,6,155.55,2025-07-17 23:41:57,Director teach military level represent customer.,Online,Elite Trainer,CD07-DO
35,Mark Smith,North,44,45,6801.55,2023-08,charles10@hotmail.com,(337)417-1409x291,37,14,Gamma,2023-09-24,No,1,603.42,2025-05-31 02:30:10,Student wrong alone.,Online,Elite Trainer,CD08-CS
36,Robert Hammond,South,73,13,6815.42,2023-12,monicalawrence@yahoo.com,547-291-3909x162,40,13,Alpha,2023-09-03,No,8,160.18,2025-06-27 22:02:53,Lot race fast type yes little office watch.,Hybrid,None,CD09-AT
37,Mary Smith,North,58,38,8757.51,2023-02,diane95@yahoo.com,+1-476-365-9447x112,36,11,Beta,2023-07-01,No,9,103.8,2025-04-21 18:25:16,Consumer both country case reveal.,Hybrid,None,CD09-AT
38,David Hale,South,92,11,2115.04,2024-12,joshua38@mccoy.org,176-306-5725,46,11,Gamma,2021-03-12,No,8,341.34,2025-02-11 08:12:37,Indicate approach institution find official no if fine.,Hybrid,Certified Seller,CD03-ML
39,Dr. Robin Watson,South,66,44,2068.44,2024-07,michelleriley@yahoo.com,+1-131-366-4681x27183,29,14,Gamma,2022-12-25,Yes,4,584.48,2025-05-17 13:13:20,Method week professor fly those enjoy environment.,Offline,Elite Trainer,CD06-CC
40,Samantha Kramer,North,42,14,2523.02,2024-06,jmartinez@yahoo.com,(389)885-0236,50,20,Gamma,2022-10-23,Yes,5,696.38,2025-03-16 05:54:10,Like audience cut system its.,Hybrid,Certified Seller,CD02-AI
41,Wendy Davis,Central,69,11,6238.41,2023-04,jose52@galvan.net,659.087.2901x650,26,15,Beta,2020-08-30,No,3,851.05,2025-02-07 05:12:13,Artist office structure yes small oil wait.,Offline,Certified Seller,CD06-CC
42,Anna Lyons,East,44,38,3633.28,2022-01,vtorres@curtis.com,101-141-5518x624,25,17,Gamma,2020-10-22,Yes,7,653.61,2025-01-07 06:55:19,Condition want leg morning.,Online,Certified Seller,CD06-CC
43,Kelly Alexander,West,75,4,1000.36,2024-11,lauracarter@ford.com,(777)763-2162,31,12,Beta,2024-04-25,Yes,5,218.75,2025-06-19 01:46:25,None modern hard world box spend inside hour.,Offline,None,CD05-FS
44,Veronica Reese,East,94,44,3651.23,2024-12,brian60@hotmail.com,797-777-3105x16437,45,11,Alpha,2023-09-27,No,6,380.96,2025-05-31 05:47:12,Team out rise team offer resource majority.,Hybrid,Certified Seller,CD06-CC
45,Sara Scott,Central,79,20,1824.95,2024-12,jenniferwhite@hotmail.com,7093368508,38,20,Beta,2020-11-20,Yes,7,852.29,2025-07-02 22:58:09,Again walk military about contain interest media.,Online,Elite Trainer,CD04-DA
46,Rhonda Mitchell,East,100,39,9766.76,2022-12,kennethkane@hotmail.com,263-522-6322,44,2,Gamma,2023-12-26,Yes,4,670.62,2025-07-28 22:04:11,Later relationship which itself service eye position.,Hybrid,Elite Trainer,CD03-ML
47,Ann Roy,East,86,19,1424.67,2023-02,kaylalewis@yahoo.com,+1-172-344-0210x6263,33,13,Alpha,2021-09-25,No,3,438.91,2025-06-16 11:50:20,Seven understand have relate.,Hybrid,Certified Seller,CD04-DA
48,Bobby Mitchell,West,75,32,4518.32,2022-07,thomas59@gmail.com,395-262-1091x8450,48,19,Alpha,2020-09-02,Yes,4,255.9,2025-03-22 05:24:13,House clearly guess again hundred.,Offline,None,CD07-DO
49,Melissa Johnson,South,63,39,6724.06,2024-03,matthew01@peters-moore.org,414.692.6243,32,11,Gamma,2023-07-06,Yes,9,261.1,2025-05-04 11:05:13,Future civil course seek.,Hybrid,None,CD03-ML
50,Shannon Clark,East,65,33,5141.21,2023-04,graychristina@hotmail.com,001-628-956-9211x962,50,6,Gamma,2023-02-04,Yes,1,764.61,2025-06-10 19:42:04,Discuss smile south manage soon second.,Offline,Certified Seller,CD02-AI
51,Manuel Adkins,West,55,25,9660.02,2022-07,cherylclark@newton.com,(788)746-0198x19964,34,10,Alpha,2023-09-09,No,5,427.65,2025-03-19 18:43:56,Talk story sing early country environment kitchen.,Online,Elite Trainer,CD08-CS
52,Jonathan Frost,South,17,48,9375.13,2023-12,douglasjames@gmail.com,001-521-571-8018x4317,49,4,Gamma,2023-01-16,Yes,9,438.41,2025-04-20 23:40:59,Eat sister reduce already per lead foot.,Offline,Elite Trainer,CD01-DS
53,Melissa George,South,29,45,4215.92,2022-04,gloria90@allen-yates.biz,001-565-732-7414x8694,41,6,Beta,2021-03-09,Yes,7,371.0,2025-01-27 21:20:34,Blue sister just specific family figure million.,Hybrid,Elite Trainer,CD04-DA
54,Christopher Rogers,South,51,13,3263.18,2023-05,howardwalsh@hotmail.com,(135)985-0985,50,19,Beta,2021-02-23,Yes,3,662.8,2025-01-06 21:53:57,If phone experience maybe course threat.,Offline,None,CD07-DO
55,Joseph Wang,West,20,22,3324.18,2024-08,ugriffin@hamilton.com,824-308-0089x72941,25,10,Alpha,2021-01-23,No,1,645.67,2025-04-07 17:47:22,Might citizen fast political first.,Hybrid,None,CD02-AI
56,Jessica Noble,East,38,30,3145.12,2022-01,zhanglisa@hotmail.com,(876)625-8752x66536,30,17,Gamma,2022-06-03,No,2,198.63,2025-07-10 21:10:18,Various my condition realize grow.,Hybrid,None,CD01-DS
57,Jennifer Mueller,West,44,37,2082.62,2023-01,cjones@ellis.com,+1-786-987-9273x8183,23,11,Gamma,2024-06-06,Yes,1,879.61,2025-03-03 22:25:44,Create suggest decision maintain national education power.,Offline,None,CD04-DA
58,Denise Robles,Central,15,19,1143.41,2023-08,omiller@hotmail.com,+1-480-562-7580x520,24,16,Alpha,2024-01-06,Yes,10,396.48,2025-07-18 18:36:06,Next writer rule.,Offline,None,CD08-CS
59,Lindsey Hebert,North,78,0,6604.6,2024-02,izuniga@hotmail.com,+1-520-421-6532x32271,35,20,Gamma,2023-01-08,No,5,315.38,2025-02-28 21:33:41,Make speech point.,Online,None,CD01-DS
60,Brandon Wilson,Central,31,31,5168.99,2022-12,sclark@hotmail.com,758.554.4941,39,3,Gamma,2020-10-25,Yes,4,672.65,2025-07-25 09:53:29,Budget wish read explain else paper trial.,Offline,None,CD05-FS
61,Christine Peterson,East,69,39,9614.34,2023-10,timothy08@gmail.com,7739841291,26,10,Gamma,2022-06-04,No,2,377.84,2025-02-10 17:00:14,Social result hold machine interest.,Online,None,CD08-CS
62,Jennifer Rowe,East,45,40,2549.88,2023-07,robinsonjames@gmail.com,466.062.9188x04569,25,7,Alpha,2024-04-27,No,8,497.63,2025-05-14 13:20:22,Ready may share house give.,Hybrid,Elite Trainer,CD02-AI
63,Angela Jones,Central,18,2,4360.68,2023-05,harveyjerry@best-price.com,+1-495-418-7708,46,18,Beta,2022-10-18,Yes,6,917.68,2025-05-26 03:08:01,Civil religious return study other crime simple.,Offline,Certified Seller,CD03-ML
64,Renee Bishop,North,28,15,8994.41,2024-09,sarah15@little.biz,200.170.6219x9775,32,5,Alpha,2020-08-21,Yes,5,240.0,2025-07-18 10:39:04,Kitchen maintain today argue.,Online,Certified Seller,CD09-AT
65,Diane Pittman,North,74,41,7227.84,2023-11,egonzalez@hotmail.com,001-310-525-4457x9968,44,16,Alpha,2023-01-17,Yes,9,473.33,2025-05-07 02:53:56,Yeah bill either three clearly power.,Offline,Certified Seller,CD01-DS
66,Deanna Bailey,Central,88,35,2295.37,2023-11,john58@hotmail.com,(300)982-6440x0233,26,10,Alpha,2024-02-22,No,6,439.27,2025-06-21 05:58:12,Indicate like live notice.,Online,Certified Seller,CD08-CS
67,Michelle Cabrera,West,58,23,3329.22,2023-07,nwilson@yahoo.com,+1-855-715-4488,39,17,Alpha,2023-09-01,Yes,6,767.95,2025-01-22 00:34:52,East usually this book.,Online,Elite Trainer,CD07-DO
68,Jennifer Evans,West,35,11,1257.37,2024-02,lopezwilliam@yahoo.com,250.523.8143,32,5,Beta,2020-10-28,No,3,269.26,2025-07-08 10:37:49,Course yard often.,Online,None,CD05-FS
69,Jennifer Smith,South,19,16,6581.55,2023-05,melissa99@bryant.com,9239161873,45,5,Gamma,2023-07-06,Yes,6,561.89,2025-01-23 20:33:23,Team full house whatever.,Offline,Certified Seller,CD04-DA
70,Ian Flores,South,99,26,7413.2,2024-05,michelephillips@liu-gonzalez.com,982-582-5925x94907,32,4,Gamma,2022-08-24,Yes,8,175.16,2025-06-28 08:35:59,Strong live station way development.,Offline,Elite Trainer,CD06-CC
71,Mason Huff,Central,53,26,9571.18,2023-09,ijames@rojas-pierce.com,(436)738-1599x309,50,20,Gamma,2023-01-07,No,7,380.51,2025-02-16 09:45:18,Agency box fact.,Offline,Elite Trainer,CD01-DS
72,Megan Moreno,South,64,4,2219.34,2023-05,comptondouglas@nolan.com,999.936.6579x877,36,10,Beta,2020-08-25,No,1,670.25,2025-03-07 09:55:10,Ask tell soon order issue smile.,Online,Elite Trainer,CD06-CC
73,James Hickman,West,64,28,6812.0,2022-01,kimbarry@higgins.com,490.520.5384x3333,47,18,Beta,2021-02-09,No,3,877.18,2025-05-30 01:41:28,Want cover fast old.,Offline,Certified Seller,CD09-AT
74,Anthony Gordon,North,30,29,2336.37,2024-12,amandaadams@ashley-white.com,955.461.5760x6722,40,19,Alpha,2023-11-05,No,8,833.83,2025-05-07 19:06:36,Outside laugh information hotel prevent continue we.,Hybrid,None,CD03-ML
75,Neil Smith,West,75,12,7587.39,2023-07,pdoyle@bauer.com,001-708-992-3663,39,12,Beta,2023-11-17,Yes,10,178.54,2025-04-13 23:29:16,Quite manager thing already think.,Online,Elite Trainer,CD03-ML
76,David Rodriguez,North,25,25,7065.73,2022-06,eatkinson@yahoo.com,071-098-7710,47,10,Gamma,2023-04-17,No,10,616.33,2025-03-12 06:33:20,Character get soldier her.,Hybrid,Elite Trainer,CD05-FS
77,Shannon Padilla,Central,17,47,5786.34,2022-04,matthewbenjamin@gmail.com,001-446-241-9310x6946,49,20,Gamma,2023-01-12,Yes,4,401.36,2025-04-07 17:04:35,Whatever program maybe to.,Online,Certified Seller,CD03-ML
78,Tonya Flores,West,20,3,1453.41,2023-06,jefferycraig@hotmail.com,0374914412,27,17,Beta,2023-12-11,No,5,200.83,2025-03-09 11:25:22,Everything forward age tree they main decision executive.,Online,Elite Trainer,CD01-DS
79,Gabrielle Gonzalez,East,85,44,9515.26,2024-10,lross@gmail.com,001-585-884-9796x409,40,1,Beta,2023-08-19,Yes,3,319.87,2025-03-14 08:22:16,Line standard professor low age page eye.,Online,None,CD01-DS
80,David Brown,South,18,4,4343.39,2023-12,josborne@yahoo.com,021.278.6263,29,14,Alpha,2023-12-06,No,2,275.0,2025-04-10 17:15:51,Difference street would.,Online,None,CD03-ML
81,Tamara Hansen,South,52,15,3358.78,2022-10,christine07@hotmail.com,087-059-2964x4748,49,12,Alpha,2023-01-06,Yes,4,552.97,2025-06-02 13:41:41,Green star many its.,Online,None,CD09-AT
82,Jacob Perkins,East,45,43,9563.78,2022-02,billy55@riley.com,+1-544-361-1703x21696,45,17,Beta,2022-09-23,No,2,537.36,2025-04-26 22:04:02,Second strong grow page pass study remember current.,Offline,Elite Trainer,CD03-ML
83,Ashley Wallace,North,50,19,7115.09,2024-07,jacksonandrew@parsons.biz,159.618.3322x251,34,17,Gamma,2024-02-02,Yes,7,870.95,2025-04-06 17:50:22,Top director administration.,Hybrid,Elite Trainer,CD09-AT
84,Connor Shaw,Central,51,14,8584.62,2022-01,cwade@hotmail.com,231-923-0480,42,18,Gamma,2020-09-14,Yes,9,270.04,2025-06-16 00:23:39,Pretty speak unit factor.,Hybrid,None,CD03-ML
85,Steven Medina,South,17,12,1571.02,2022-10,walkerkaren@peck.com,001-786-061-3945x89674,36,13,Beta,2021-09-11,Yes,8,881.89,2025-02-02 23:21:10,Allow participant consumer well machine.,Online,None,CD02-AI
86,Charles Garcia,West,96,22,7226.26,2024-12,normanrandall@gmail.com,781.044.3835x4799,28,10,Beta,2020-12-09,No,8,791.47,2025-06-25 07:31:57,Though shoulder specific hot course.,Hybrid,Certified Seller,CD01-DS
87,Jessica Barnes,West,80,7,5369.86,2022-08,garcialinda@mcdonald-green.com,902.535.5674x72614,48,2,Alpha,2021-01-25,No,1,227.59,2025-05-12 01:08:47,Look just live light.,Hybrid,Elite Trainer,CD07-DO
88,Patrick Collins,West,59,3,7302.9,2024-06,hatkinson@collins.com,(867)482-5392,35,5,Beta,2024-03-11,No,6,702.62,2025-06-06 00:09:09,Social standard course wait heavy eye happen.,Online,Certified Seller,CD05-FS
89,Ryan Copeland DVM,North,46,17,2558.18,2023-07,morriscarol@gmail.com,+1-763-414-7096,49,13,Alpha,2021-02-09,No,7,850.64,2025-06-26 23:49:58,Reflect open leg sell believe.,Hybrid,Certified Seller,CD03-ML
90,Joseph Wise,Central,13,0,6758.18,2022-01,ddavies@gmail.com,7042321528,23,12,Beta,2021-04-07,Yes,8,800.22,2025-06-20 16:55:17,Ten drop simply traditional election product.,Offline,None,CD06-CC
91,Mason Young,West,97,33,8857.88,2024-01,ryanroger@byrd-mendoza.net,036.933.2255x45457,45,16,Beta,2022-06-20,Yes,4,812.74,2025-06-12 19:39:28,Report again single population rest.,Hybrid,Elite Trainer,CD07-DO
92,John Day,East,45,21,7238.17,2024-12,erica12@rivera.biz,(338)592-9587,33,19,Beta,2023-12-09,No,1,796.24,2025-07-06 15:53:12,Top stay the realize or.,Hybrid,Certified Seller,CD09-AT
93,Kevin Bond,East,77,17,2896.06,2022-12,jenniferhall@jackson.org,(012)300-2994,29,7,Beta,2020-09-04,No,9,799.21,2025-07-03 11:04:50,Right accept represent language young nothing through stay.,Hybrid,None,CD02-AI
94,Mary Leblanc,North,66,0,2543.8,2023-09,jameswilliams@gmail.com,7835402427,30,3,Alpha,2024-01-01,Yes,2,132.05,2025-04-26 18:29:22,Eat wife attorney mention somebody stand.,Offline,None,CD07-DO
95,Seth Cooper DDS,Central,65,47,9222.5,2024-05,dennisjasmine@johns.com,+1-015-162-3867x949,38,3,Gamma,2022-07-04,Yes,4,161.26,2025-02-21 02:22:21,Southern think billion century also.,Offline,Certified Seller,CD06-CC
96,Jeffery Phillips,West,89,42,5656.85,2024-09,anita86@butler-smith.info,4202366341,36,6,Beta,2022-10-06,No,2,834.97,2025-06-21 19:30:27,Economy easy tonight child write.,Offline,Certified Seller,CD03-ML
97,Mario Smith,North,46,25,3292.46,2023-03,brennantroy@hotmail.com,137.772.6119x665,43,19,Alpha,2021-07-03,Yes,2,822.43,2025-02-09 14:06:49,Police never sit water provide name majority.,Offline,None,CD03-ML
98,Joseph Martinez,South,86,16,2039.75,2023-09,kristina22@gmail.com,(483)391-9729x48636,26,19,Gamma,2022-05-31,Yes,4,378.85,2025-04-20 04:52:33,Effect character worry receive.,Online,None,CD01-DS
99,Justin Buchanan,East,47,44,9494.0,2022-05,michelle52@mcknight.biz,974.833.8129x35481,40,9,Gamma,2024-02-27,Yes,2,845.38,2025-07-19 17:32:10,Message view blue thing rest.,Offline,Certified Seller,CD06-CC
100,Manuel Fuller,East,72,1,8043.41,2024-01,jimmy45@jordan.com,197.328.0427,22,18,Beta,2023-04-04,No,8,309.27,2025-04-01 09:06:00,Each close seven program baby.,Offline,Certified Seller,CD02-AI
101,Matthew Hall,South,78,21,3504.74,2023-02,griffinjulie@smith.com,001-578-230-0001x85865,34,19,Gamma,2024-02-16,No,9,440.24,2025-04-17 01:00:48,Six big toward score.,Online,Elite Trainer,CD01-DS
102,Edward Jones,East,14,17,1759.21,2023-06,townsendashley@ramirez.info,+1-515-302-5105x3380,24,10,Alpha,2024-03-05,No,7,175.76,2025-02-11 18:39:14,Son agency image field between impact question.,Online,None,CD08-CS
103,Holly Freeman,North,90,36,1770.73,2022-01,rodriguezkeith@hotmail.com,1665915936,43,17,Gamma,2020-11-05,No,10,167.37,2025-07-20 03:19:38,Whether environment study.,Online,Elite Trainer,CD05-FS
104,Holly Sanders,West,10,47,3709.93,2024-01,delgadoashley@yahoo.com,5385524755,47,4,Beta,2024-05-19,No,5,466.64,2025-04-15 22:47:16,Than talk ago anyone.,Hybrid,Elite Trainer,CD02-AI
105,Leonard Cook,East,93,50,6246.31,2022-09,lspencer@hotmail.com,(463)525-1199x5870,50,9,Alpha,2021-12-17,Yes,2,587.8,2025-04-04 08:37:16,System total thus impact effect seven chance.,Hybrid,Elite Trainer,CD02-AI
106,Danielle Barnett,East,33,27,9670.57,2024-05,jonathan15@gmail.com,001-255-204-2789x8304,45,18,Alpha,2021-03-23,No,5,476.89,2025-04-11 21:52:30,College shoulder provide whose.,Hybrid,Certified Seller,CD03-ML
107,Renee Elliott,Central,64,0,6864.77,2023-02,twright@yahoo.com,(763)451-3646,45,20,Beta,2022-12-26,Yes,6,979.19,2025-02-25 21:00:08,Could board rate peace.,Hybrid,Elite Trainer,CD02-AI
108,Ronald Bryant,West,28,2,3737.34,2023-10,heatherkeller@perkins.biz,697-119-1060x051,47,16,Beta,2022-07-26,No,8,632.2,2025-02-28 06:08:37,Several page without necessary opportunity democratic full.,Offline,Certified Seller,CD02-AI
109,Jennifer Thomas,South,36,32,3672.02,2022-08,chendaniel@hotmail.com,214.179.3634x670,25,9,Beta,2023-04-28,No,6,119.17,2025-02-17 17:45:48,Daughter issue painting specific nature.,Hybrid,Certified Seller,CD03-ML
110,Kimberly Holden,South,23,7,3049.88,2022-11,xburke@greene-oliver.net,(859)188-9916x758,48,1,Gamma,2023-08-30,Yes,9,251.12,2025-04-28 14:01:21,Door learn before him available.,Online,Elite Trainer,CD03-ML
111,Jennifer Greer,South,76,13,4848.68,2022-08,lewismark@landry.biz,342-505-0071,45,14,Beta,2023-10-27,Yes,8,774.58,2025-02-04 04:55:13,Same me by grow wind when.,Offline,Certified Seller,CD01-DS
112,Deborah Stephenson,East,67,14,4133.32,2023-11,kevin74@garza.com,301.033.3846,40,7,Gamma,2022-01-07,No,7,991.61,2025-02-02 20:48:40,Maintain new really fact.,Hybrid,Certified Seller,CD09-AT
113,Stacy Brown,Central,39,27,5638.13,2023-12,gblack@archer-davis.com,462-252-0577x35234,32,0,Beta,2021-09-16,Yes,10,859.64,2025-04-05 02:54:48,Book community capital should.,Hybrid,Certified Seller,CD08-CS
114,Ana Kane,North,69,11,6912.54,2022-03,mollycastro@mclaughlin.com,(583)898-6002x20494,34,11,Alpha,2023-09-24,No,10,886.68,2025-07-22 23:55:51,Because challenge family feeling.,Hybrid,Certified Seller,CD05-FS
115,Larry Brown,West,21,47,1298.98,2022-10,nicole11@morgan.com,181.584.7068x6398,42,11,Gamma,2021-11-05,No,8,385.02,2025-06-21 13:43:32,Reason kitchen military discover me.,Hybrid,Elite Trainer,CD04-DA
116,Rachel Ross,Central,24,10,9825.85,2023-03,johngray@flores-singh.info,+1-673-913-1824,35,10,Alpha,2022-12-26,No,4,146.83,2025-04-16 02:58:49,Ok successful green perform option including enter.,Online,Elite Trainer,CD08-CS
117,Maxwell Lamb,West,70,26,1693.16,2022-05,martinezdarryl@hernandez.com,001-152-604-7228x16623,29,11,Beta,2023-10-15,Yes,7,481.69,2025-03-17 02:30:33,Whom attention reason fear seek.,Online,None,CD05-FS
118,Joyce Gonzalez,Central,47,48,8969.15,2022-08,jessica05@cole.com,(064)793-2513x2728,48,20,Beta,2021-01-17,Yes,3,278.5,2025-06-25 01:04:53,Crime police first.,Offline,Certified Seller,CD04-DA
119,Jeffrey Mays,North,72,35,9177.79,2022-11,sbeck@hobbs.org,9146702066,37,4,Gamma,2022-06-18,Yes,4,256.46,2025-05-08 13:29:53,This citizen responsibility hair improve Democrat amount.,Hybrid,Elite Trainer,CD07-DO
